request,core,latency,predicted_pressure
1,0,9,0
2,1,9,0
3,2,11,0
4,3,10,0
5,4,46,1
6,5,6,0
7,6,5,0
8,7,6,0
9,0,12,0
10,1,7,0
11,2,14,0
12,3,9,0
13,4,7,0
14,5,13,0
15,6,14,0
16,7,9,0
17,0,8,0
18,1,40,1
19,2,6,0
20,3,7,0
21,4,14,0
22,5,13,0
23,6,6,0
24,7,6,0
25,0,9,0
26,1,14,0
27,2,5,0
28,3,10,0
29,4,44,1
30,5,10,0
31,6,9,0
32,7,7,0
33,0,11,0
34,1,6,0
35,2,41,1
36,3,46,1
37,4,8,0
38,5,5,0
39,6,8,0
40,7,9,0
41,0,10,0
42,1,9,0
43,2,13,0
44,3,6,0
45,4,13,0
46,5,13,0
47,6,13,0
48,7,13,0
49,0,10,0
50,1,11,0
51,2,6,0
52,3,11,0
53,4,13,0
54,5,43,1
55,6,43,1
56,7,7,0
57,0,7,0
58,1,13,0
59,2,5,0
60,3,9,0
61,4,10,0
62,5,8,0
63,6,8,0
64,7,13,0
65,0,11,0
66,1,10,0
67,2,9,0
68,3,13,0
69,4,12,0
70,5,5,0
71,6,7,0
72,7,8,0
73,0,12,0
74,1,7,0
75,2,8,0
76,3,7,0
77,4,10,0
78,5,14,0
79,6,13,0
80,7,8,0
81,0,9,0
82,1,9,0
83,2,10,0
84,3,11,0
85,4,5,0
86,5,11,0
87,6,5,0
88,7,5,0
89,0,13,0
90,1,9,0
91,2,14,0
92,3,12,0
93,4,5,0
94,5,14,0
95,6,7,0
96,7,11,0
97,0,8,0
98,1,12,0
99,2,7,0
100,3,14,0
101,4,12,0
102,5,14,0
103,6,12,0
104,7,5,0
105,0,10,0
106,1,9,0
107,2,5,0
108,3,7,0
109,4,10,0
110,5,5,0
111,6,6,0
112,7,43,1
113,0,12,0
114,1,9,0
115,2,12,0
116,3,9,0
117,4,7,0
118,5,8,0
119,6,5,0
120,7,8,0
121,0,8,0
122,1,8,0
123,2,13,0
124,3,11,0
125,4,8,0
126,5,13,0
127,6,14,0
128,7,11,0
129,0,10,0
130,1,12,0
131,2,6,0
132,3,11,0
133,4,10,0
134,5,6,0
135,6,9,0
136,7,13,0
137,0,5,0
138,1,40,1
139,2,13,0
140,3,46,1
141,4,44,1
142,5,8,0
143,6,6,0
144,7,13,0
145,0,13,0
146,1,6,0
147,2,6,0
148,3,13,0
149,4,11,0
150,5,13,0
151,6,12,0
152,7,8,0
153,0,10,0
154,1,6,0
155,2,8,0
156,3,7,0
157,4,13,0
158,5,10,0
159,6,14,0
160,7,11,0
161,0,5,0
162,1,11,0
163,2,8,0
164,3,12,0
165,4,11,0
166,5,11,0
167,6,10,0
168,7,5,0
169,0,8,0
170,1,11,0
171,2,10,0
172,3,11,0
173,4,9,0
174,5,12,0
175,6,6,0
176,7,5,0
177,0,12,0
178,1,12,0
179,2,39,1
180,3,5,0
181,4,10,0
182,5,14,0
183,6,12,0
184,7,6,0
185,0,7,0
186,1,9,0
187,2,10,0
188,3,10,0
189,4,12,0
190,5,5,0
191,6,14,0
192,7,9,0
193,0,11,0
194,1,10,0
195,2,38,1
196,3,12,0
197,4,13,0
198,5,7,0
199,6,9,0
200,7,13,0
201,0,13,0
202,1,5,0
203,2,6,0
204,3,8,0
205,4,14,0
206,5,9,0
207,6,10,0
208,7,10,0
209,0,5,0
210,1,7,0
211,2,13,0
212,3,10,0
