request,core,latency,pressure
1,0,6,1
2,1,13,1
3,2,11,1
4,3,14,1
5,4,9,1
6,5,9,1
7,6,42,1
8,7,12,1
9,0,7,1
10,1,10,1
11,2,7,1
12,3,10,1
13,4,9,1
14,5,10,1
15,6,11,1
16,7,14,1
17,0,8,1
18,1,6,0
19,2,5,0
20,3,7,1
21,4,8,0
22,5,9,0
23,6,9,0
24,7,10,0
25,0,42,0
26,1,8,0
27,2,7,0
28,3,37,0
29,4,6,1
30,5,7,0
31,6,36,0
32,7,8,0
33,0,8,0
34,1,11,0
35,2,9,0
36,3,12,0
37,4,10,0
38,5,5,0
39,6,9,1
40,7,12,0
41,0,8,0
42,1,10,0
43,2,11,0
44,3,9,0
45,4,7,0
46,5,7,0
47,6,13,0
48,7,11,0
49,0,6,0
50,1,9,0
51,2,9,0
52,3,11,0
53,4,12,0
54,5,5,0
55,6,8,0
56,7,6,0
57,0,42,0
58,1,14,0
59,2,8,0
60,3,9,0
61,4,9,0
62,5,5,1
63,6,14,0
64,7,9,0
65,0,5,0
66,1,12,0
67,2,7,0
68,3,14,0
69,4,10,0
70,5,6,0
71,6,10,0
72,7,6,0
73,0,5,0
74,1,14,0
75,2,11,0
76,3,12,0
77,4,14,0
78,5,12,0
79,6,7,0
80,7,7,1
81,0,6,1
82,1,9,1
83,2,11,0
84,3,9,0
85,4,10,0
86,5,10,0
87,6,13,0
88,7,8,0
89,0,14,0
90,1,12,0
91,2,12,0
92,3,10,0
93,4,13,0
94,5,9,0
95,6,5,0
96,7,5,0
97,0,8,0
98,1,13,0
99,2,8,1
100,3,14,1
101,4,8,1
102,5,12,1
103,6,5,1
104,7,6,1
105,0,13,1
106,1,12,1
107,2,11,1
108,3,12,1
109,4,5,1
110,5,6,0
111,6,10,0
112,7,6,0
113,0,13,0
114,1,12,1
115,2,14,0
116,3,14,0
117,4,7,0
118,5,7,0
119,6,14,1
120,7,5,1
121,0,12,0
122,1,13,0
123,2,7,0
124,3,9,0
125,4,43,0
126,5,5,0
127,6,13,0
128,7,5,0
129,0,5,0
130,1,38,0
131,2,6,0
132,3,43,0
133,4,5,0
134,5,13,0
135,6,6,0
136,7,12,0
137,0,7,1
138,1,14,0
139,2,12,0
140,3,8,0
141,4,5,0
142,5,12,0
143,6,12,0
144,7,13,0
145,0,13,0
146,1,13,0
147,2,12,0
148,3,6,0
149,4,10,0
150,5,6,0
151,6,44,0
152,7,37,0
153,0,9,0
154,1,6,0
155,2,12,0
156,3,9,0
157,4,12,0
158,5,13,0
159,6,13,0
160,7,8,0
161,0,6,0
162,1,8,0
163,2,11,0
164,3,13,0
165,4,11,0
166,5,12,0
167,6,6,1
168,7,8,0
169,0,11,0
170,1,10,0
171,2,14,0
172,3,6,1
173,4,11,0
174,5,9,0
175,6,9,0
176,7,13,0
177,0,9,0
178,1,8,0
179,2,7,0
180,3,13,0
181,4,7,0
182,5,8,1
183,6,12,1
184,7,8,1
185,0,8,1
186,1,11,1
187,2,11,1
188,3,10,1
189,4,12,1
190,5,14,0
191,6,11,0
192,7,10,0
193,0,13,0
194,1,39,0
195,2,6,0
196,3,5,0
197,4,14,0
198,5,13,0
199,6,13,0
200,7,11,0
201,0,11,0
202,1,11,0
203,2,10,1
204,3,12,1
205,4,11,1
206,5,6,1
207,6,14,0
208,7,8,0
209,0,8,1
210,1,11,1
211,2,6,1
212,3,9,1
213,4,14,1
214,5,14,1
215,6,6,1
216,7,14,1
217,0,9,1
218,1,14,1
219,2,7,1
220,3,9,1
221,4,5,1
222,5,12,1
223,6,11,1
224,7,8,1
225,0,5,1
226,1,44,0
227,2,10,0
228,3,5,0
229,4,11,0
230,5,6,0
231,6,8,0
232,7,13,0
233,0,8,0
234,1,6,0
235,2,11,0
236,3,6,1
237,4,9,1
238,5,6,1
239,6,11,1
240,7,13,1
241,0,14,1
242,1,10,1
243,2,6,1
244,3,9,0
245,4,10,0
246,5,14,0
247,6,8,0
248,7,43,0
249,0,6,0
250,1,14,0
251,2,13,0
252,3,9,0
253,4,12,0
254,5,6,0
255,6,14,0
256,7,10,0
257,0,11,0
258,1,14,0
259,2,5,0
260,3,14,0
261,4,5,0
262,5,14,0
263,6,9,0
264,7,6,0
265,0,8,0
266,1,10,0
267,2,7,0
268,3,8,0
269,4,5,0
270,5,12,0
271,6,14,0
272,7,10,0
273,0,10,0
274,1,14,0
275,2,5,0
276,3,7,0
277,4,9,0
278,5,7,0
279,6,13,0
280,7,8,0
281,0,11,0
282,1,10,0
283,2,14,0
284,3,12,0
285,4,9,0
286,5,10,1
287,6,5,1
288,7,9,1
289,0,39,1
290,1,9,1
291,2,5,1
292,3,7,1
293,4,9,1
294,5,10,1
295,6,12,0
296,7,11,0
297,0,41,0
298,1,7,0
299,2,8,0
300,3,7,0
301,4,11,0
302,5,13,0
303,6,6,0
304,7,12,0
305,0,7,0
306,1,10,0
307,2,14,0
308,3,12,0
309,4,12,0
310,5,10,0
311,6,7,0
312,7,13,0
313,0,11,0
314,1,9,0
315,2,9,0
316,3,9,0
317,4,5,0
318,5,9,0
319,6,13,0
320,7,13,0
321,0,14,0
322,1,10,0
323,2,5,0
324,3,10,0
325,4,6,0
326,5,6,1
327,6,11,0
328,7,5,0
329,0,12,0
330,1,7,0
331,2,6,0
332,3,11,0
333,4,10,0
334,5,9,0
335,6,8,0
336,7,5,0
337,0,8,0
338,1,10,0
339,2,14,0
340,3,7,0
341,4,10,0
342,5,14,0
343,6,12,0
344,7,8,0
345,0,13,0
346,1,9,0
347,2,10,0
348,3,8,0
349,4,13,0
350,5,8,1
351,6,14,0
352,7,12,0
353,0,14,0
354,1,13,0
355,2,11,0
356,3,14,0
357,4,6,0
358,5,8,0
359,6,13,0
360,7,8,0
361,0,11,0
362,1,11,0
363,2,42,0
364,3,9,0
365,4,7,0
366,5,11,0
367,6,13,0
368,7,12,0
369,0,14,0
370,1,5,0
371,2,43,0
372,3,10,0
373,4,9,1
374,5,8,1
375,6,5,1
376,7,6,1
377,0,43,1
378,1,5,0
379,2,8,0
380,3,10,0
381,4,8,0
382,5,13,0
383,6,7,0
384,7,11,0
385,0,10,0
386,1,43,0
387,2,5,0
388,3,6,0
389,4,9,1
390,5,5,1
391,6,7,1
392,7,8,0
393,0,7,0
394,1,9,0
395,2,5,0
396,3,8,0
397,4,11,0
398,5,39,0
399,6,5,0
400,7,10,0
