request,core,latency,pressure
1,0,11,1
2,1,18,1
3,2,11,1
4,3,11,0
5,4,6,0
6,5,5,0
7,6,14,0
8,7,40,0
9,0,9,0
10,1,9,0
11,2,13,0
12,3,7,0
13,4,9,0
14,5,13,0
15,6,13,0
16,7,6,0
17,0,13,0
18,1,10,0
19,2,7,0
20,3,6,0
21,4,7,0
22,5,36,0
23,6,11,0
24,7,10,0
25,0,14,1
26,1,5,0
27,2,12,1
28,3,14,1
29,4,10,0
30,5,8,0
31,6,11,0
32,7,10,0
33,0,11,0
34,1,12,0
35,2,5,0
36,3,12,0
37,4,12,0
38,5,12,0
39,6,13,0
40,7,6,0
41,0,14,0
42,1,12,0
43,2,14,0
44,3,10,0
45,4,38,0
46,5,10,0
47,6,13,0
48,7,9,0
49,0,14,0
50,1,12,0
51,2,5,0
52,3,12,0
53,4,9,0
54,5,7,0
55,6,10,0
56,7,8,0
57,0,10,0
58,1,9,0
59,2,11,0
60,3,12,0
61,4,14,1
62,5,17,1
63,6,14,0
64,7,8,0
65,0,14,0
66,1,13,0
67,2,10,0
68,3,13,1
69,4,7,0
70,5,11,0
71,6,9,0
72,7,6,0
73,0,13,0
74,1,10,1
75,2,18,1
76,3,10,1
77,4,11,1
78,5,10,1
79,6,17,1
80,7,19,1
81,0,47,1
82,1,6,0
83,2,9,0
84,3,14,0
85,4,5,0
86,5,14,0
87,6,12,0
88,7,6,0
89,0,11,0
90,1,7,0
91,2,6,0
92,3,7,0
93,4,38,0
94,5,35,0
95,6,7,0
96,7,8,0
97,0,10,0
98,1,12,0
99,2,14,0
100,3,10,0
101,4,6,0
102,5,14,0
103,6,8,0
104,7,10,0
105,0,13,0
106,1,5,0
107,2,11,0
108,3,10,0
109,4,12,0
110,5,13,0
111,6,41,0
112,7,6,0
113,0,12,0
114,1,17,1
115,2,11,0
116,3,41,1
117,4,13,0
118,5,43,0
119,6,11,0
120,7,10,0
121,0,9,0
122,1,10,0
123,2,12,0
124,3,42,0
125,4,8,0
126,5,6,0
127,6,8,0
128,7,9,0
129,0,14,0
130,1,13,0
131,2,12,0
132,3,7,0
133,4,11,0
134,5,12,1
135,6,18,1
136,7,42,0
137,0,8,0
138,1,5,0
139,2,11,0
140,3,14,0
141,4,12,0
142,5,13,0
143,6,13,0
144,7,5,0
145,0,6,0
146,1,8,0
147,2,10,0
148,3,13,0
149,4,7,0
150,5,12,0
151,6,8,0
152,7,9,0
153,0,7,0
154,1,13,1
155,2,10,1
156,3,17,1
157,4,16,1
158,5,15,1
159,6,13,1
160,7,5,0
161,0,10,0
162,1,8,0
163,2,7,0
164,3,11,0
165,4,14,0
166,5,8,0
167,6,11,0
168,7,12,0
169,0,11,0
170,1,6,0
171,2,9,0
172,3,44,0
173,4,11,0
174,5,6,0
175,6,11,0
176,7,10,0
177,0,11,0
178,1,13,0
179,2,6,0
180,3,11,0
181,4,14,0
182,5,13,0
183,6,9,0
184,7,13,1
185,0,12,1
186,1,13,1
187,2,42,1
188,3,17,1
189,4,11,1
190,5,9,0
191,6,14,0
192,7,39,0
193,0,11,0
194,1,12,0
195,2,18,1
196,3,13,1
197,4,14,1
198,5,16,1
199,6,11,1
200,7,14,0
201,0,7,0
202,1,10,0
203,2,13,0
204,3,6,0
205,4,10,0
206,5,8,0
207,6,7,0
208,7,11,0
209,0,15,1
210,1,16,1
211,2,13,0
212,3,11,0
213,4,8,0
214,5,7,0
215,6,14,0
216,7,11,0
217,0,9,0
218,1,9,0
219,2,47,1
220,3,10,1
221,4,16,1
222,5,15,1
223,6,11,0
224,7,41,0
225,0,13,0
226,1,14,0
227,2,40,0
228,3,9,0
229,4,14,0
230,5,12,0
231,6,10,0
232,7,8,0
233,0,8,0
234,1,12,0
235,2,11,1
236,3,10,1
237,4,14,1
238,5,41,0
239,6,12,0
240,7,43,0
241,0,7,0
242,1,13,0
243,2,37,0
244,3,9,0
245,4,7,0
246,5,13,0
247,6,12,0
248,7,7,0
249,0,10,1
250,1,11,0
